pay_first,pay_extra,avg_total_requests,avg_total_accepted,avg_total_profit,std_total_requests,std_total_accepted,std_total_profit
20.0,15.0,12626.9,2642.85,26926.25,145.79605618808762,62.071148692448084,620.5962354864877
20.0,17.5,12749.9,2755.25,28019.125,151.29140755508885,69.58367265386327,713.6299264149451
20.0,20.0,12852.4,2897.7,28977.0,180.66499384219404,67.47080850264061,674.708085026406
20.0,22.5,13100.05,3146.05,30159.125,137.5999545784809,73.464600318793,686.9417165051195
20.0,25.0,13412.45,3450.35,30612.0,229.9603172288645,111.44024183390846,918.4258271629778
20.0,27.5,13746.7,3818.0,29880.875,203.62320594667005,116.91407100943837,740.907920645339
20.0,30.0,14130.3,4192.15,27787.0,201.44009034946345,122.02306134497691,717.5311839913301
21.5,15.0,13576.05,3629.45,31738.225,194.54548953907926,80.05777601207768,684.0409796751946
21.5,17.5,13691.95,3745.7,32864.85,153.04720676967614,66.2926089394587,612.0471203265317
21.5,20.0,14034.4,4052.7,35127.45,158.65289155889974,78.06606176822295,692.6058384824661
21.5,22.5,14303.95,4353.8,36262.55,138.77408799916503,85.87409388168238,709.0695293834026
21.5,25.0,14845.75,4884.75,37431.15,158.1628512009062,83.36298639084374,577.3247374744997
21.5,27.5,15421.2,5522.2,36850.9,189.44698466853464,129.94137139494873,764.6494556331024
21.5,30.0,15940.7,6077.35,33276.225,285.1661094870847,185.9984610151385,735.9609785002191
23.0,15.0,14838.7,4894.7,35801.3,141.60052966002635,86.467392698057,638.1271111620317
23.0,17.5,15027.5,5101.7,37622.875,143.8560043932821,63.0199174864582,463.2723247453921
23.0,20.0,15349.25,5432.8,39877.15,130.9957537479746,85.46730368977367,604.073942079941
23.0,22.5,15935.3,6013.3,42623.4,227.13566430659893,112.87475359884512,806.9217991850264
23.0,25.0,16691.0,6815.05,44310.85,232.71012010653942,149.91680192693545,939.898838971514
23.0,27.5,17616.45,7811.35,43409.875,290.0097369055046,194.94519101532106,884.7546676197871
23.0,30.0,18640.7,8851.7,38385.9,361.6213627539169,239.26410094287024,749.2161837547291
24.5,15.0,16337.85,6373.3,37440.025,191.5853008453415,108.13006057521655,707.3611078331916
24.5,17.5,16560.1,6681.75,40008.125,216.82432981563667,117.97197760485327,700.9035218023947
24.5,20.0,17038.9,7180.45,43254.25,220.1910306983461,118.6189171253894,748.001244985595
24.5,22.5,17774.95,7963.4,46663.9,204.4733417832261,126.5999210110338,782.2690489850662
24.5,25.0,18907.0,9158.2,49190.125,210.1209175689084,123.98975764150845,651.7833972072317
24.5,27.5,20376.35,10681.45,47999.725,388.9938656328657,263.27561128976606,1088.7413888867275
24.5,30.0,21864.45,12364.9,40803.4,380.21092501399795,276.04961510569075,693.727713155529
26.0,15.0,17822.15,8011.7,35636.65,164.74321685580864,95.95472890900167,421.4410130730041
26.0,17.5,18355.0,8489.7,39110.225,225.7186301571051,129.091479192083,682.2880343923672
26.0,20.0,18935.0,9112.35,43029.0,290.43243620504927,158.86732672264614,823.2308303264643
26.0,22.5,19926.85,10202.55,47500.8,243.37528120168656,125.41629678793741,684.6593569067759
26.0,25.0,21431.95,11828.9,50488.3,277.72764986583525,185.01051321479005,816.0498820537872
26.0,27.5,23487.15,14081.05,48938.725,495.1509138636422,326.8517209683926,1046.2271440155814
26.0,30.0,25959.45,16806.0,38640.8,495.4238059479984,379.4109908792839,693.4200458596506
27.5,15.0,19449.6,9714.9,29318.5,293.25183716389574,175.08909160767269,630.393924463109
27.5,17.5,19925.3,10177.85,32883.125,249.47086002176684,141.2364241263563,601.9613126065495
27.5,20.0,20723.45,11047.6,37723.0,290.3917138969361,150.55610250003153,658.5517253792598
27.5,22.5,22077.5,12483.5,43144.25,321.3435077918955,200.99689052321182,838.4908690617925
27.5,25.0,24126.7,14690.3,46846.5,371.2496599325042,233.38104036103704,841.1032189927703
27.5,27.5,27013.7,17831.05,44577.625,424.0527207789145,317.00654173060843,792.5163543265211
27.5,30.0,30506.6,21715.3,30183.5,655.9267032222427,518.5386292264058,483.83390745172045
29.0,15.0,20979.35,11340.75,18190.95,234.61634107623448,139.9578061417083,323.76572934762567
29.0,17.5,21528.7,11925.8,22238.425,187.50442661441355,126.2222642801182,328.88711114149794
29.0,20.0,22534.05,12968.95,27686.65,328.2607919018048,200.73451995110358,585.531064504694
29.0,22.5,24151.3,14707.35,33498.2,315.13109970296483,206.3197215488621,699.4383889950565
29.0,25.0,26691.0,17461.25,37292.45,396.698248042514,292.62345685197556,889.8288866405721
29.0,27.5,30443.1,21574.6,33756.7,539.1466312609214,405.2007403744469,747.5421292475763
29.0,30.0,34573.0,26280.45,14261.1,522.3940083883045,425.78004591572864,164.04660923042573
