pay_first,pay_extra,month_change,avg_total_requests,avg_total_accepted,avg_total_profit,std_total_requests,std_total_accepted,std_total_profit
20.0,5.0,1.0,10269.8,278.8,3643.0,52.47056317593704,16.726027621644057,219.22819161777528
20.0,5.0,3.0,10817.8,825.6,8962.5,109.91614985979083,39.606060142357,415.16412417259755
20.0,5.0,5.0,11385.4,1391.2,14413.0,136.18972061062465,57.712736895766774,635.2054785657945
20.0,5.0,7.0,11961.5,1976.6,20126.0,132.96935737229086,31.950586849070554,313.6781790306747
20.0,5.0,9.0,12538.6,2521.1,25322.0,72.73403604915651,30.0747402316296,302.85475066440677
20.0,5.0,11.0,12955.6,2900.6,29012.0,152.5956749059422,43.81369648865523,437.7567817864162
20.0,10.0,1.0,10400.7,428.6,6405.0,98.32298815638183,23.465719677862005,326.32039470434574
20.0,10.0,3.0,10993.5,970.2,11359.0,86.15480253590046,26.32033434438096,352.63153574233826
20.0,10.0,5.0,11514.6,1498.3,16204.0,114.69019138531421,34.464619539463946,409.07700986489084
20.0,10.0,7.0,11987.0,2000.6,20707.0,95.00736813531886,46.947204389611954,521.6905212863273
20.0,10.0,9.0,12539.9,2565.6,25969.0,110.10762916346896,37.96366684080978,409.44963060186046
20.0,10.0,11.0,12864.6,2874.2,28759.0,134.85488496899177,65.69901064704094,644.9720924195093
20.0,15.0,1.0,10977.9,971.1,13395.5,171.76463547540862,49.79246931012761,696.3133274611365
20.0,15.0,3.0,11393.4,1387.7,16868.0,132.82559994217982,35.87213403186379,443.81415029266475
20.0,15.0,5.0,11782.4,1803.5,20238.0,103.80963346433701,36.63400060053502,405.3344298230783
20.0,15.0,7.0,12202.8,2205.0,23380.5,157.07501392646762,54.11284505549491,583.1185556985818
20.0,15.0,9.0,12668.3,2627.0,26778.0,89.45842609838382,57.67321735433181,564.8105877194583
20.0,15.0,11.0,12865.3,2870.2,28728.5,127.55002940023182,44.2849861691296,439.65355679216333
20.0,20.0,1.0,12874.7,2891.7,28917.0,167.33801122279422,68.59015964407723,685.9015964407722
20.0,20.0,3.0,12802.4,2868.8,28688.0,124.45256124323035,72.72248620612471,727.2248620612472
20.0,20.0,5.0,12898.8,2911.4,29114.0,148.83668902525343,38.13974305104847,381.3974305104847
20.0,20.0,7.0,12879.2,2897.5,28975.0,87.28550853377666,33.227247854735126,332.2724785473512
20.0,20.0,9.0,12841.9,2890.6,28906.0,122.06346709806337,53.31078690096405,533.1078690096405
20.0,20.0,11.0,12842.5,2889.6,28896.0,202.72999284762972,75.31560263318617,753.1560263318618
20.0,25.0,1.0,19166.6,9443.0,48378.5,277.580690971112,141.90983052628877,733.5259027464538
20.0,25.0,3.0,17617.7,7940.8,43634.5,219.623791971635,166.73379981275542,921.3236402046786
20.0,25.0,5.0,16277.7,6540.8,39483.5,120.62756733019198,95.8413272028304,597.9675994566929
20.0,25.0,7.0,14861.0,5081.3,35154.5,233.89484816900094,134.5437103695301,867.1604522808914
20.0,25.0,9.0,13542.9,3698.0,31159.0,203.2601534979249,85.87665573367421,681.0058736897943
20.0,25.0,11.0,12833.6,2900.2,28837.0,108.75679289129484,56.594699398441904,558.90607439891
20.0,30.0,1.0,34559.1,26600.5,2317.0,717.9209496873594,615.8688577936053,153.10453944935793
20.0,30.0,3.0,28857.5,20720.3,7811.0,469.2686330877017,376.4619635501042,277.82908415066987
20.0,30.0,5.0,23180.2,14822.3,13672.0,386.34357766112794,281.6703924802889,330.3271106040193
20.0,30.0,7.0,18195.5,9426.2,19318.0,310.2912341655819,250.06151243244133,417.96650583509677
20.0,30.0,9.0,14353.0,4953.7,25362.0,244.48517337458318,160.72837335081817,848.4432803670496
20.0,30.0,11.0,12889.6,2919.3,28698.0,111.25843788225683,67.48636899404205,602.275684383821
22.5,5.0,1.0,10349.3,401.4,4020.25,98.19882891358735,15.583324420674813,150.62971984306418
22.5,5.0,3.0,11427.4,1410.7,11467.5,101.82848324511171,47.79759408171085,378.32195283911295
22.5,5.0,5.0,12522.9,2496.6,19372.0,168.22392814341245,67.9988235192345,486.4665970033297
